,Unnamed: 0,CCV,bloque,OrdenPres,sujnum,TipoNumCCV,FFD,FPRT,TFT,transicion,dur_totCCV,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_r,OrdenDeCCV,repeticion_ccv,Frecuencia,SegConsVoceada,RPD,RBRC,RBRT,SFD,RRT,NormTransition,TotalRepetition
1926,1926,BTA,1,1,7,5,110,547,547,0.181060707669565,0.40395493624473294,0.346433844999528,0.6047680431800749,0.603768043180098,2,3,10150.0,0,547,0,547,0,0,0.4482200647249197,3
1933,1933,BDA,1,1,7,5,469,596,596,0.117701090704061,0.340822376655966,0.223121285951905,0.535426956417585,0.227426956417592,3,3,23.66,1,596,0,596,0,0,0.34534437515196137,3
1934,1934,GPA,1,1,7,5,420,1110,1110,,,,,,4,3,7.98,0,1110,0,1110,0,0,,3
1935,1935,DTA,1,1,7,5,408,1004,1004,,,,,,5,3,1.44,0,1004,0,1004,0,0,,3
1941,1941,GTA,1,1,7,5,734,1388,1388,0.13100984856461698,0.4098736690807321,0.296643728535599,1.16446134676701,1.15346134676705,5,3,47.64,0,1388,0,1388,0,0,0.3196347031963456,3
1950,1950,DPA,1,1,7,5,406,936,936,0.192417840621415,0.458137715765274,0.376691010740336,0.50079812769579,0.5077981276958521,2,3,3.51,0,936,0,936,0,0,0.4199999999999998,3
1958,1958,GDA,2,3,7,5,428,655,655,,,,,,4,1,8.06,1,655,0,655,0,0,,4
1959,1959,BTA,2,3,7,5,231,429,429,,,,,,5,1,10150.0,0,429,0,429,0,0,,4
1965,1965,DBA,2,3,7,5,492,492,492,,,,,,5,1,0.05,1,492,0,492,492,0,,4
1968,1968,DTA,2,3,7,5,706,706,706,,,,,,2,1,1.44,0,706,0,706,706,0,,4
1974,1974,BGA,2,3,7,5,523,523,523,,,,,,2,1,1.11,1,523,0,523,523,0,,4
1980,1980,BGA,2,3,7,5,213,482,482,,,,,,2,2,1.11,1,482,0,482,0,0,,5
1981,1981,GDA,2,3,7,5,460,460,460,,,,,,3,2,8.06,1,460,0,460,460,0,,5
1982,1982,BPA,2,3,7,5,621,621,621,,,,,,4,1,0.39,0,621,0,621,621,0,,4
1986,1986,DBA,2,3,7,5,722,722,722,,,,,,2,2,0.05,1,722,0,722,722,0,,5
1989,1989,BCA,2,3,7,5,491,491,491,,,,,,5,1,12.49,0,491,0,491,491,0,,4
1992,1992,GPA,2,3,7,5,527,527,527,,,,,,2,1,7.98,0,527,0,527,527,0,,4
1998,1998,GPA,2,3,7,5,469,469,469,,,,,,2,2,7.98,0,469,0,469,469,0,,5
2004,2004,BCA,2,3,7,5,533,533,533,,,,,,2,2,12.49,0,533,0,533,533,0,,5
2007,2007,DGA,2,3,7,5,483,483,483,,,,,,5,1,0.0,1,483,0,483,483,0,,4
2011,2011,GDA,2,3,7,5,304,530,530,,,,,,4,3,8.06,1,530,0,530,0,0,,6
2012,2012,DGA,2,3,7,5,212,467,467,,,,,,5,2,0.0,1,467,0,467,0,0,,5
