,Unnamed: 0,CCV,bloque,OrdenPres,sujnum,TipoNumCCV,FFD,FPRT,TFT,transicion,dur_totCCV,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_r,OrdenDeCCV,repeticion_ccv,Frecuencia,SegConsVoceada,RPD,RBRC,RBRT,SFD,RRT,NormTransition,TotalRepetition
4237,4237,GTA,1,1,15,5,463,1136,1136,0.262941400807142,0.672039058977827,0.644765881766448,0.8279365528301229,0.8159365528300659,3,3,47.64,0,1136,0,1136,0,0,0.39125910509885614,3
4239,4239,GPA,1,1,15,5,308,888,888,0.27674437144416,0.635321755949764,0.6263945181612429,0.6458028397918709,0.636802839791857,5,2,7.98,0,888,0,888,0,0,0.4355971896955511,2
4244,4244,GCA,1,1,15,5,313,1195,1195,0.23061574787463696,0.7070193322998729,0.624331449015875,0.813467272702085,0.804467272702071,4,2,0.0,0,1195,0,1195,0,0,0.3261802575107301,2
4245,4245,DGA,1,1,15,5,543,1073,1073,0.31701104227756605,0.839458538173213,0.768149721396187,0.69772111250423,0.6867211125041489,5,2,0.0,1,1073,0,1073,0,0,0.37763752211923335,2
4248,4248,DCA,1,1,15,5,574,574,574,0.264542221265569,0.650713050009561,0.609663394985594,0.6444092965345279,0.280409296534495,2,2,0.19,0,574,0,574,574,0,0.406542056074766,2
4250,4250,GPA,1,1,15,5,274,792,792,0.23616333857479,0.6549413517452021,0.570499227778053,0.80240668310423,0.791406683104263,4,3,7.98,0,792,0,792,0,0,0.3605870020964364,3
4254,4254,DCA,1,1,15,5,486,819,819,0.2574805793652,0.909267166743773,0.619446031516278,0.637666400227995,0.626666400227914,2,3,0.19,0,819,0,819,0,0,0.28317373461012346,3
4256,4256,DGA,1,1,15,5,30,30,1022,0.209033831078332,0.612380800905536,0.556442170053589,0.919394341804073,1.34939434180414,4,3,0.0,1,1288,1,1022,0,992,0.3413461538461538,3
4262,4262,BDA,1,1,15,5,376,951,951,0.270185840551413,0.6591346879386141,0.614598560375193,0.8625735677820959,0.8585735677821908,4,3,23.66,1,951,0,951,0,0,0.40990990990990855,3
4263,4263,DBA,1,1,15,5,898,1750,1750,0.268474151825289,0.7186444126778578,0.583172988068614,1.50311492551016,1.4961149255102102,5,3,0.05,1,1750,0,1750,0,0,0.37358413575482174,3
4275,4275,BPA,1,1,15,5,647,793,793,0.24938275978239,0.656209934726934,0.629777660648616,1.08961419282283,0.6966141928227959,5,3,0.39,0,793,0,793,0,0,0.3800350262697023,3
4278,4278,DPA,1,1,15,5,218,431,431,0.224129570851417,0.678980758755764,0.6072007001170749,0.925332319695117,0.494332319695077,2,3,3.51,0,431,0,431,0,0,0.3300970873786404,3
4279,4279,GCA,1,1,15,5,739,1139,1139,0.350110898258096,0.8388076726444471,0.764097815693975,0.7920919284922171,0.783091928492202,3,3,0.0,0,1139,0,1139,0,0,0.4173911489797502,3
4285,4285,BCA,1,1,15,5,501,1222,1222,0.307551974201546,0.754900300312885,0.719413534058861,1.2338178070911898,1.24281780709121,3,3,12.49,0,1222,0,1222,0,0,0.4074074074074078,3
4997,4997,GDA,1,2,17,5,163,1310,1310,0.109565915636825,0.272254699461202,0.258973982414314,1.32125618966219,1.3222561896624,3,1,8.06,1,1310,0,1310,0,0,0.4024390243902432,4
4999,4999,GBA,1,2,17,5,1065,1065,1065,0.15707231072073002,0.3545790776666,0.31569979283473604,0.9948851769482048,0.9978851769488158,5,1,7.04,1,1065,0,1065,1065,0,0.4429824561403489,4
5014,5014,BCA,1,2,17,5,286,887,887,0.108047242209416,0.4202750143735071,0.313460250212107,0.8968471043397701,0.9038471043393772,2,1,12.49,0,887,0,887,0,0,0.2570869990224834,4
5017,5017,BGA,1,2,17,5,234,1384,1545,0.136703866237875,0.406073931778329,0.304555448833747,1.21309154460224,1.21409154460245,5,1,1.11,1,1384,0,1384,0,161,0.3366477272727273,4
5022,5022,BTA,1,2,17,5,481,686,686,0.130950237213479,0.43797545554508,0.330472389184015,0.6255761708724069,0.6255761708724069,4,2,10150.0,0,686,0,686,0,0,0.29898989898990025,5
5025,5025,DBA,1,2,17,5,471,471,471,0.153963965591809,0.555855199305723,0.405287497660792,0.6386298986142679,0.362629898614428,2,1,0.05,1,471,0,471,471,0,0.27698574338085497,4
5026,5026,DPA,1,2,17,5,619,854,854,0.15882758694910298,0.4495562166225229,0.364483946463053,0.770895755759638,0.774895755758634,3,1,3.51,0,854,0,854,0,0,0.3532986111111107,4
